Title,Description,Organization,Location,Type,Status,Tags,Expiry Date,Family Friendly,Remote,Added By,Admin Description,Giver Applications,Volunteers Required,Approved by Admin,Rejected by Admin
"Delivering training to staff on Autism - YMCA ","YMCA is looking for a volunteer to provide training on autism awareness and inclusion to our staff team.  This training aims to enhance our understanding and support of individuals with autism in our programs.  "," YMCA","Msida, Malta",One-time,Active,"Educational, Children/Young people, Working with people",2025-03-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Designing Social Media Posts","We are looking for creative and enthusiastic volunteers to help design social media posts for our organization. Your contributions will help us engage with our community and promote our mission effectively."," YMCA","Valletta, Malta",One-time,Active,"Administration, Social/Care giving, Working Inside, Working alone",2025-02-28,No,Yes,"admin@joyfromgiving.com","",0,N/A,Yes,No
"FAMILY SUPPORT VOLUNTEERS","Family Support Volunteers work very closely with social workers – enabling them to maximise well-
being outcomes for the persons they support. We are looking for dedicated volunteers to join us as

Family Support Volunteers to work hand-in-hand with our Social Workers to implement specific
aspects of personalised care plans created by the Social Workers with their users themselves.
Your role will enable us to ensure that care plans are more effectively implemented and that the
unique needs and goals of certain service user are met. By working closely with our social workers
and service users, you will contribute to execution of certain aspects of care plans designed to
promote well-being, empowerment, and growth.
Support and Empathy: Your compassionate presence and support will be instrumental in providing
comfort and assistance to service users as they navigate their individual journeys. By forging
meaningful relationships and actively engaging with service users, you will help them feel heard,
understood, and better prepared to improve their circumstances.

","Jeanne Antide Foundation","Tarxien, Malta",Ongoing,Active,"Social/Care giving, Educational, Working as part of a team, Working with people",2024-12-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Fieldwork Assistants","Joining the Nature Trust team at the Xrobb l-Ghagin Park in Delimara.  The ideal volunteer would be a person passionate about nature and eager to pass on this to students visiting the park during school hours.  ","Nature Trust","Delimara, Marsaxlokk, Malta",Ongoing,Active,"Educational, Environmental, Working as part of a team, Working Outdoors",2025-06-25,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Food Preparation ","Helping out in the final stages of food preparation for the soup kitchen organised by the Millenium Chapel. Food is served once a week during lunch time.   ","Millennium Chapel - Love Kitchen","Paceville, St Julian's, Malta",Ongoing,Active,"Anything with Food, Social/Care giving, Working Inside, Working with people, Working as part of a team",2025-01-31,Yes,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Football Coach ","St Joseph's Home is currently looking for a Football Coach to provide weekly sessions to a group of six kids (ages 8 to 12).  Sessions are ideally held during the week after 630pm.  ","St Joseph's Home Educational Program","Santa Venera, Malta",One-time,Active,"Sports and Recreation, Working Outdoors, Working as part of a team, Children/Young people, Educational",2025-03-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Fund Raising Activities for Missionary Work in Tanzania with Lend a Hand","Are you passionate about supporting missionary work and making a tangible difference in communities? Join our team as a Volunteer Fundraising Assistant and help us raise crucial funds for our mission projects in Tanzania!","Lend a Hand","Tal-Ibraġ, Is-Swieqi, Malta",Ongoing,Active,"Administration, International Aid, Social/Care giving, Working as part of a team",2025-02-28,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Funding Schemes assistance","Helping the Malta Dementia Society to acquire and benefit from funding schemes.  ","Malta Dementia Society","Msida, Malta",Ongoing,Active,"Administration, Working Inside, Working alone, Seniors and People with Disabilities",2024-12-31,No,Yes,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Fundraising Events Organisation with Lend a Hand","We are looking for dedicated volunteers to assist our team with the logistics, organisation and running of fund raising events.  Funds are used for specal projects in Tanzania. ","Lend a Hand","Tal-Ibraġ, Is-Swieqi, Malta",Ongoing,Active,"Administration, Working with people, Working as part of a team",2025-03-29,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Gardening","We are looking for enthusiastic volunteers to help us maintain and beautify our garden. Your assistance will greatly support our efforts to create a pleasant and welcoming environment for everyone."," YMCA","Msida, Malta",One-time,Active,"Environmental, Social/Care giving, Working Outdoors, Maintenance",2025-02-28,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Gardening","The Swatar Parish has a garden in its premises and volunteers are needed to assist in the upkeep! Are you passionate about gardening and looking to make a difference in your community? We are seeking enthusiastic volunteer gardeners to help maintain and beautify our green space.","Parish Swatar","Is-Swatar, Msida, Malta",Ongoing,Active,"Environmental, Working Outdoors",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Gardening ","We are looking for dedicated volunteers to assist with basic gardening tasks such as pruning, planting, and general maintenance. Whether you have a green thumb or are just eager to help, your contribution will be greatly appreciated. Join us in creating and maintaining beautiful, thriving gardens for our community.","Richmond Foundation","Birkirkara, Malta",Ongoing,Active,"Environmental, Social/Care giving, Maintenance, Working Outdoors",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Gardening at Dar Sagra Famiglia in Zabbar.  ","We need volunteers to help us maintain and care for the garden at Dar Sagra Famiglia in Zabbar.  "," Dar Sagra Famiglia","Żabbar, Malta",Ongoing,Active,"Environmental, Social/Care giving, Working Outdoors, Working alone",2024-12-30,Yes,No,"admin@joyfromgiving.com","Tree Plants Flowers Grass watering park birds",0,N/A,Yes,No
"General Maintenance","We are seeking volunteers to assist with general maintenance tasks and wall painting. If you have basic DIY skills or simply a willingness to help, we would love to have you join our team. Your efforts will contribute to creating a welcoming and well-maintained environment for our community.","Richmond Foundation","Birkirkara, Malta",Ongoing,Active,"Maintenance, Social/Care giving",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Handyman","We are looking for skilled volunteers to assist with various handyman tasks at our facility. Your help will ensure that our premises remain safe and well-maintained for everyone."," YMCA","Msida, Malta",One-time,Active,"Maintenance, Social/Care giving",2025-02-28,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"HANDYMAN","Unleash Your Handy Skills!: Are you a talented handyman looking to make a significant impact in your
community? We are in urgent need of skilled volunteers like you who can dedicate a few hours
occasionally to carry out various tasks that make a world of difference.
Versatile Tasks: As a Volunteer Handyman, you will assist with transporting donated items from
generous donors' houses to our service users’ houses. Additionally, you'll be involved in carrying out
basic repairs and maintenance in the homes of underprivileged individuals, working closely with our
dedicated Social Workers.
Join Our Service Sites: Your expertise will be put to use at our service sites, where you'll have the
opportunity to provide invaluable support and practical assistance.
Make a Lasting Impact: By volunteering your time and skills, you will directly contribute to improving
the lives of those in need. Your handiwork can bring comfort, safety, and relief to individuals who
may not have the means or resources to address these issues themselves.","Jeanne Antide Foundation","Tarxien, Malta",Ongoing,Active,"Maintenance, Social/Care giving, Working with people, Working as part of a team",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Help Create a Team to Support Young People in Paceville","This inspiring initiative seeks to bring caring and mature individuals together to create a team of ""Street Angels"" for our community in Paceville, Malta. These teams will provide vital support to young people in distress during weekend nights. If you love the idea of making a real difference outdoors and forming a dedicated group, this opportunity is for you! It’s team-based, social caregiving, and happens monthly on late weekend nights. Join hands to ensure everyone feels safe and supported. Start by helping form this incredible team of volunteers and be part of something meaningful.","Millennium Chapel - Love Kitchen","Paceville, Malta",Ongoing,Active,"Maintenance, Sports and Recreation, Working Outdoors, Working with people, Working as part of a team, Children/Young people",2025-05-31,No,No,"admin@joyfromgiving.com","street angels, community care, social caregiving, help youth, team-based support, Malta volunteers, outdoor aid, late-night help, Paceville community, caring mature persons, group initiative, young people support, organizing volunteers.",0,N/A,Yes,No
"Helping clients with cooking skills! ","We are seeking enthusiastic volunteers to assist our clients in developing their cooking skills. Whether you’re a seasoned chef or a kitchen novice, your support can make a significant difference. Join us in creating a positive and educational environment where clients can learn, grow, and enjoy the art of cooking.","Richmond Foundation","Birkirkara, Malta",One-time,Active,"Educational, Anything with Food, Social/Care giving, Working Inside, Working with people, Working as part of a team",2025-02-28,No,No,"admin@joyfromgiving.com","",2,N/A,Yes,No
"Helping hands on wheels: Transport goods to transform lives!","Join this impactful opportunity to assist the Missionaries of Charity in delivering essential goods to families in need. You'll drive through the Cospicua and Cottonera areas, accompanied by one of the Sisters, ensuring support reaches those who need it most. This is a one-time task that requires a caring heart and the ability to drive and carry goods. Your efforts will bring hope and relief to families in a meaningful way. Let's drive change together—one delivery at a time!","Missionaries of Charity","Cospicua, Malta",Ongoing,Active,"Working Outdoors, Working as part of a team, Social/Care giving",2025-05-31,No,No,"admin@joyfromgiving.com"," transport, deliveries, families in need, driving, Missionaries of Charity, Cospicua, Cottonera, one-time, social care, helping others, charity work, humanitarian support, teamwork, carrying goods, impactful.",0,N/A,Yes,No
"Horse Sanctuary assitance","We are seeking passionate volunteers to join our horse rescue sanctuary. Your help is needed in various areas, including feeding, grooming, and general care of the horses."," RMJ HORSE RESCUE CENTRE","Siġġiewi, Malta",Ongoing,Active,"Animal care, Maintenance, Working Outdoors, Working as part of a team",2025-01-30,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"I Can Assist Young Persons with Disabilities During Fun Activities!","Equal Partners Foundation invites you to assist young persons with disabilities or learning difficulties during their weekly group activities. These meetings, held in Msida, provide opportunities for fun, learning, and social interaction. Your role will involve offering support, encouragement, and a friendly presence to ensure every participant feels included and valued. No special skills are required—just kindness, patience, and a willingness to engage. Join this meaningful initiative and help create joyful, enriching experiences for young people in your community.

","Equal Partners Foundation","Msida, Malta",Ongoing,Active,"Children/Young people, Seniors and People with Disabilities, Working with people, Working as part of a team",2025-08-30,No,No,"admin@joyfromgiving.com","assist, young persons, disabilities, learning difficulties, group activities, Equal Partners Foundation, Msida, support, inclusion, weekly meetings, social engagement, community service, meaningful, caring, patience, teamwork, disability support, empowering activities.",1,5,Yes,No
"I can deliver Talks and Facilitate Discussion Groups","We are looking for enthusiastic and compassionate volunteer speakers to lead discussions and deliver talks for individuals participating in a rehabilitation program. If you are passionate about using your voice to help others and have some time to spare, we would love to hear from you!

","OASI Foundation GOZO","Victoria, Gozo",One-time,Active,"Social/Care giving, Working with people, Educational",2025-03-31,No,No,"admin@joyfromgiving.com","enthusiastic, compassionate, speaker, facilitator, rehabilitation, talks, discussion, empowerment, inspiring, healing, storytelling, recovery, listening, motivational, impactful, transformation, social support, compassionate care, group leadership, speaking engagement, self-improvement.",0,N/A,Yes,No
"I can help as a Chef for special fund-raising activities!","We are looking for a talented chef to participate in our special fundraising events. Your culinary skills will help create memorable dining experiences that support our cause. If you have a passion for cooking and a desire to make a difference, we would love to have you join our team. Your contribution will play a crucial role in our fundraising efforts. This can be a one-time event. "," SPARK15","Valletta, Malta",One-time,Active,"Anything with Food, Social/Care giving, Working Inside, Working with people, Working as part of a team",2026-06-30,No,No,"admin@joyfromgiving.com","chef, culinary arts, fundraising, SPARK15, Malta, cooking events, memorable dining, social impact, food preparation, impactful cuisine, team events, food and culture, cooking passion, cooking for a cause, one time event.",1,N/A,Yes,No
"I can help Dar Hosea Residents as a Beautician ","Step into a role where your skills in makeup, skincare, or nail art can make a meaningful difference. Join us in offering beautician services to our residents or service users who cherish the joy and confidence these services bring. Whether it’s a glowing complexion, styled nails, or a moment of care, your talents can uplift spirits and create lasting memories. If you’re passionate about helping others and enjoy sharing your expertise, this is your opportunity to shine and connect with a wonderful community. Every moment you give will bring smiles and gratitude."," Dar Hosea","Birkirkara, Malta",Ongoing,Active,"Help individuals in need., Improve the lives of others., Make a positive difference in the community, Working with people, Health and Human Services",2026-01-31,No,No,"admin@joyfromgiving.com","beautician, makeup, skincare, nail art, self-care, residents, care, community engagement, confidence building, uplifting, personal care, cosmetology, human services, creativity, compassionate, skilled assistance, beauty services, spreading smiles.",0,3,Yes,No
"I can help E.F.R.U with Rescue Vehicles Servicing","E.F.R.U is seeking a technical volunteer with vehicle mechanic skills to assist in the servicing and maintenance of their rescue vehicles. This vital work ensures the fleet remains in top condition, ready to respond to emergencies and save lives. Your expertise will make a significant difference, helping E.F.R.U continue its mission of providing crucial rescue services. If you’re skilled in vehicle mechanics and want to contribute to a meaningful cause, this opportunity is perfect for you. Join us in keeping rescue operations running smoothly!"," E.F.R.U","Marsa, Malta",Ongoing,Active,"Maintenance, Working alone",2026-01-31,No,No,"admin@joyfromgiving.com","E.F.R.U, rescue vehicles, servicing, maintenance, technical volunteer, vehicle mechanics, mechanic skills, rescue services, emergency response, fleet maintenance, readiness, technical expertise, contribute, meaningful cause, action-ready, servicing vehicles.",0,3,Yes,No
"I Can Help Facilitate Group Activities for Young Persons!","Equal Partners Foundation invites you to assist group leaders in organizing and facilitating activities for young persons with disabilities attending their group sessions. Your role will involve supporting leaders, coordinating activities, and helping create an inclusive and engaging environment. This is an opportunity to inspire young people and ensure they enjoy meaningful group experiences. No prior experience is necessary—just a positive attitude, a willingness to collaborate, and a passion for working with youth. Join us in making a difference and empowering young individuals in your community.","Equal Partners Foundation","Msida, Malta",Ongoing,Active,"Children/Young people, Seniors and People with Disabilities, Working with people, Working as part of a team",2029-07-25,No,No,"admin@joyfromgiving.com","youth work, group facilitation, young persons, disabilities, group activities, Equal Partners Foundation, organizing, facilitating, supporting leaders, youth engagement, inclusion, teamwork, empowering, social interaction, community building, meaningful experiences, leadership support, activity coordination, inclusive youth work.",1,5,Yes,No
"I can help in maintaining the Cat Cafe shelter in Luqa","Contribute to the well-being of stray cats by maintaining the Cat Cafe shelter in Luqa. Your efforts will ensure a clean, safe, and welcoming environment for these furry friends. This role includes tasks such as cleaning, minor repairs, and organizing the shelter space. It’s a hands-on opportunity to make a direct impact on the lives of animals in need. Join us and be a part of creating a better home for the cats while connecting with a caring community.","CatCafe Malta","Luqa, Malta",One-time,Active,"Maintenance, Family Friendly, Animal care, Working alone, Working as part of a team, Working Inside, Working Outdoors",2026-01-01,No,No,"admin@joyfromgiving.com","Contribute to the well-being of stray cats by maintaining the Cat Cafe shelter in Luqa. Your efforts will ensure a clean, safe, and welcoming environment for these furry friends. This role includes tasks such as cleaning, minor repairs, and organizing the shelter space. It’s a hands-on opportunity to make a direct impact on the lives of animals in need. Join us and be a part of creating a better home for the cats while connecting with a caring community.",0,5,Yes,No
"I can help OASI Fondation with Funding Schemes","Join us in creating a brighter future for individuals in need! We are seeking skilled and enthusiastic volunteers to help write grant proposals for vital funding schemes. Your expertise will directly support our rehabilitation program, helping us secure the resources needed to transform lives. This role is perfect for individuals with grant-writing experience and a passion for making an impact. Together, we can ensure that every individual in our program receives the support they deserve.","OASI Foundation GOZO","Gozo ",Ongoing,Active,"Administration, Health and Human Services, Social/Care giving, Working Inside",2025-06-30,No,Yes,"admin@joyfromgiving.com","grant writing, grant proposals, funding schemes, rehabilitation support, volunteer writers, skilled writers, community support, impactful writing, dedicated volunteers, funding programs, life-changing programs, proposal crafting, resource securing, rehabilitation initiatives, grant application experts",0,1,Yes,No
"I can help Repairing Rubble Walls with Bee Savers Malta","We are seeking dedicated volunteers to assist with the construction and repair of rubble walls. Your efforts will help create a sustainable environment for bees and other beneficial insects.","Bee Savers Malta ","Malta",Ongoing,Active,"Environmental, Maintenance, Working as part of a team, Working Outdoors",2025-10-25,No,No,"admin@joyfromgiving.com","Bee Savers Malta, Xemxija Pilot Project, native tree planting, sustainable environment, bee conservation, wildlife habitat, biodiversity, ecosystem health, environmental project, reforestation, nature preservation, eco-friendly, pollinator support, sustainable growth, hands-on activities, green initiatives, planting trees, community engagement, outdoor volunteering.",0,5,Yes,No
"I Wanna Help Animate the Summer Camp 2025!","Join the Sisters of the Missionary Society (Mother Theresa's) and a group of dedicated youth in creating an unforgettable experience for the Summer Camp 2025. This rewarding opportunity involves organizing, facilitating, and running various camp activities designed to bring joy and growth to all participants. You'll play a vital role in shaping memories while being part of a supportive community rooted in strong values and Christian principles. Step into this enriching environment and make this summer truly impactful for others and yourself!

","Missionaries of Charity","Cospicua, Malta",Ongoing,Active,"Children/Young people, Educational, Working as part of a team, Sports and Recreation",2025-06-28,No,No,"admin@joyfromgiving.com","summer camp, summer camp animator, youth camp activities, Sisters of Missionary Society, Christian values, Mother Theresa's mission, animating summer, facilitating summer activities, youth empowerment, Christian community, summer camp engagement, teamwork, activity planning, youth growth, Christian summer activities, inspiring kids

",0,10,Yes,No
"I wanna help in leading meaningful youth activities every Friday!","Join our team of dedicated volunteer youth leaders meeting weekly on Friday evenings. We are a socio-religious group committed to nurturing sound values and principles in our community. Volunteers assist our leaders in organizing activities and guiding our youth toward personal and spiritual growth. This is a meaningful opportunity to contribute to a supportive and uplifting environment while making a difference in the lives of young people.","Circolo San Gwann Bosco Tarxien","Tarxien, Malta",Ongoing,Active,"Children/Young people, Educational, Working as part of a team, Working with people",2025-07-29,No,No,"admin@joyfromgiving.com"," youth leadership, socio-religious group, Circolo Don Bosco, Tarxien, youth guidance, team activities, weekly volunteering, youth inspiration, assisting leaders, values-driven activities, Friday evenings, community building, working with young people, shaping futures, group engagement.",0,3,Yes,No
"I Wanna Help Kids Shine: After-School Tutoring!","Join us in making a difference in the lives of young children in Marsa! We’re looking for enthusiastic individuals to help with after-school homework sessions. Your guidance can spark confidence, foster learning, and support academic success. Sessions are conducted regularly in a welcoming environment that encourages growth and joy. This is a fulfilling opportunity to engage with children and help them achieve their goals. If you love working with kids and have a passion for education, this is the perfect way to make an impact!lta.  ","Optimist Club of Malta - IKBER MAGHNA PROJECT","Marsa, Malta",Ongoing,Active,"Children/Young people, Educational, Working Inside, Working with people, Working as part of a team",2025-06-30,No,No,"admin@joyfromgiving.com","homework help, tutoring, Marsa, children, education, after-school, academic support, Malta, confidence building, mentoring, inspiring kids, regular sessions, educational help, study assistance, team engagement, family-friendly tasks.",0,N/A,Yes,No
"I wanna help pack food for families in need!","Food Bank Foundation invites you to make a real difference! By packing food items like preserves and essentials into bags, you help provide meals to families in need. This hands-on task brings hope and support to many. It’s simple yet impactful and perfect for people who care about helping others. Join us in this rewarding experience and pack food with friends or like-minded individuals. Together, we can fight hunger and create smiles one bag at a time.","Food Bank Lifeline Foundation","Marsa, Malta",Ongoing,Active,"Family Friendly, Anything with Food, Social/Care giving, Working Inside, Working as part of a team",2027-02-27,Yes,No,"admin@joyfromgiving.com","food packing, food bank, fight hunger, families in need, food bags, pack food, preserve food, help families, support community, community food drive, food assistance, teamwork, helping hands, meal distribution, charity packing, food foundation, food support, working inside, family-friendly task, give back, community service",0,6,Yes,No
"I wanna help reorganize the cat village at Fra Diego!","Join us in giving Sebh’s cat village at the Fra Diego Residence a fresh and tidy look! This hands-on task involves reorganizing, cleaning, and improving the cat-friendly spaces in the gardens. You’ll help ensure the area is safe, clean, and welcoming for the cats and residents who enjoy their company. It’s a perfect opportunity for those who love animals, working outdoors, and making an immediate difference. This on-site activity requires no advanced skills—just a love for animals, willingness to lend a hand, and attention to detail. Bring a friend or join the team to make the cat village a cozy and organized haven for its furry residents.","Fondazzjoni Sebh","Hamrun, Malta",Ongoing,Active,"Environmental, Family Friendly, Animal care, Working Outdoors",2026-04-30,Yes,No,"admin@joyfromgiving.com","Cat village reorganization, caring for cats, animal care, Fra Diego Residence gardens, outdoor activity, cleaning and organizing, cat-friendly space improvement, working outdoors, helping animals, practical tasks, teamwork, creating safe animal spaces, hands-on task, improving cat environments, working in gardens, organizing pet areas, animal haven support.",0,7,Yes,No
